intervention,n_states,cost_crore,lives_saved,cost_per_life_inr
DMHP_universal,18,3285.36,25887,1269116
Pesticide_ban,29,1304.37,254241,51304
Tele_MANAS_full,17,1399.1399999999999,16235,861805
