Quantity,Value
SRS-anchored deaths 2025-2030 (status quo),"1,512,000"
Cumulative attempts (1:25 ratio),"37,800,000"
Cumulative YLLs,"48,384,000"
Productivity loss (lakh crore INR),9.68
VSL economic value (lakh crore INR),60.48
Healthcare cost of attempts (lakh crore INR),1.32
Total economic burden of status quo (lakh crore INR),61.80
Lives saved if NSPS 10% met,"151,200"
Economic value of NSPS (lakh crore INR),6.18
NSPS implementation cost (crore INR),"6,000"
Benefit-cost ratio of NSPS investment,103.0
Cost per DALY averted (INR),"12,401"
