year,scenario_A_status_quo,scenario_B_NSPS_10pct_2030,scenario_C_best_state_minus2pct
2018,134516,134516,134516
2019,139123,139123,139123
2020,153052,153052,153052
2021,164033,164033,164033
2022,170924,170924,170924
2023,171418,171418,171418
2024,170746,170746,170746
2025,170657,167900,167331
2026,170568,165054,163984
2027,170480,162209,160705
2028,170391,159363,157491
2029,170303,156517,154341
2030,170214,153671,151254
