Risk factor,Linked intervention,Exposure prevalence,Relative risk,PAF,Denominator,Attributable deaths 2023,Evidence source
"Pesticide method access (organophosphate, paraquat)",Pesticide regulation (state-level ban + safe storage),70.0% (60.0-80.0%),1.43 (1.25-1.60),23.1% (13.0-32.4%),"National all-population (252,000)","58,302 (32,869-81,729)",Gunnell et al 2017; Sri Lanka -50% national suicide rate after sequential bans
Heavy alcohol use disorder,State-level alcohol availability regulation + brief alcohol intervention,5.0% (4.0-7.0%),3.50 (2.50-5.00),11.1% (5.7-21.9%),"National all-population (252,000)","28,000 (14,264-55,125)",Borges et al Acta Psychiatr Scand 2016; India NMHS 2016
Untreated depression / mental disorder,DMHP scale-up + Tele-MANAS expansion + mhGAP-IG primary care,4.5% (3.5-6.0%),13.00 (8.00-20.00),35.1% (19.7-53.3%),"National all-population (252,000)","88,363 (49,590-134,242)",Bachmann 2018 meta-analysis; India NMHS 2016 (treatment gap 80%)
Intimate-partner violence in women aged 15-49,Section 304B/498A enforcement + women safety helpline scale-up,29.3% (27.0-32.0%),4.54 (2.99-6.89),50.9% (35.0-65.3%),"Female 15-49 subset (~60,500)","30,792 (21,138-39,514)",Devries et al PLoS Med 2013; India NFHS-5 2019-21
