state,n_years,rate_2018,rate_2023,ncrb_apc_pct_per_year,ncrb_apc_p_value,ncrb_r_squared
Mizoram,6,2.5,7.9,25.26907080088614,0.07462138939153724,0.5895021894777004
Uttarakhand,4,3.8,8.1,16.010609594114644,0.19119894823447295,0.6541591413370227
Uttar Pradesh,6,2.2,3.9,12.770878223125791,0.019050785688761052,0.7833680897961524
Bihar,6,0.4,0.7,10.00893395256024,0.07040858940391317,0.600194764558431
Tamil Nadu,6,18.4,25.3,8.402958326026866,0.010644242491082622,0.836374469596746
Telangana,6,21.2,27.7,6.7737485561960575,0.014107693483862224,0.8124960235659549
Jharkhand,6,3.6,5.1,6.7594979765942975,0.10186681150213985,0.5280225541236104
Sikkim,6,30.2,40.2,6.308742661309807,0.05962625158370433,0.6294546581931546
Assam,6,7.0,8.5,5.572899781090213,0.12136424982558071,0.49024852373878297
Kerala,5,23.5,30.6,5.397112595342102,0.0004620824463002456,0.9894391386520149
Odisha,5,10.5,12.9,4.651527498330044,0.03268540731018398,0.825644978508877
Madhya Pradesh,5,14.5,18.0,4.5753182334079545,0.031987227150561334,0.8280414906091147
Maharashtra,5,14.8,17.9,4.44729561083359,0.015475108061106831,0.8924826423141362
Goa,6,16.7,20.7,4.404851476995075,0.04328270686750044,0.6805392723528985
Punjab,5,5.8,7.5,4.0168416526279005,0.435033629936438,0.21212324100205696
Himachal Pradesh,5,10.2,10.9,4.008090858515545,0.4250816575931813,0.2203337119374741
Rajasthan,5,5.7,6.8,3.4023239510200254,0.20613992494201142,0.4629991252683382
Karnataka,6,17.7,19.7,3.1723879414680134,0.01835714865994485,0.7871849023837583
Tripura,4,18.2,,2.5472553993625136,0.5030063409441436,0.24700269714172884
Gujarat,6,11.6,12.5,2.386129012738669,0.03383819185543553,0.7153578777215391
Andaman & Nicobar Islands,5,41.0,49.6,1.9824013521631434,0.43586443459283053,0.21144677822758468
Jammu & Kashmir,6,2.5,2.7,1.6840313522870742,0.678991330781739,0.04727679639601361
Chhattisgarh,6,24.7,26.0,1.3065271626353736,0.23425368194313065,0.3286847343179655
Arunachal Pradesh,6,8.9,8.2,1.0386431390244422,0.7912864506507248,0.01961629198528927
Nagaland,5,1.7,1.6,-0.022806408307507464,0.9958634610082739,1.0554934329178482e-05
Chandigarh,6,13.7,12.1,-2.284079557733665,0.4605218339658662,0.14258035211426145
Lakshadweep,5,4.3,4.3,-2.4562236212690602,0.8587827048588276,0.012352330448975147
Puducherry,6,33.8,28.0,-2.8767545292947005,0.23728748901038205,0.3252480548026846
Haryana,5,12.5,11.1,-2.9292415175652287,0.23446684473011498,0.4233175284441978
Meghalaya,4,16.0,,-15.710934164018454,0.31625865260049024,0.4675022301436971
Manipur,6,1.7,0.8,-16.447752580923247,0.016875378774811652,0.7956102571652208
