age,sex,2016,2017,2018,2019,2020,2021,2022,2023
55-59 years,Both,8320.081903467031,8713.211083509721,8940.85914769496,9121.347019693789,8719.08345837035,9757.278077068891,9207.441085564404,9166.912339415634
55-59 years,Female,2649.380633428392,2803.3005191274237,2990.7478439095457,3165.0134635691297,3190.8490609726805,3445.255098760132,3246.0142851300748,3254.169116295354
55-59 years,Male,5670.701270038647,5909.910564382295,5950.111303785418,5956.333556124657,5528.23439739767,6312.022978308763,5961.426800434329,5912.743223120276
60-64 years,Both,7323.683220324615,7602.467230468084,7876.332797539575,7965.792059912461,7652.876993179006,8900.272897461098,7834.872533416438,7734.532874351093
60-64 years,Female,2524.0168189039205,2559.7445464971497,2603.209676949142,2622.323309331607,2571.312819125059,2827.710671541872,2569.7119585305195,2568.7224080459014
60-64 years,Male,4799.666401420689,5042.722683970937,5273.123120590436,5343.468750580857,5081.564174053954,6072.562225919221,5265.160574885926,5165.810466305191
65-69 years,Both,5985.001111752425,6480.191317817525,6846.797941646311,6959.210425153363,6740.9313238613,7309.889183159127,6679.965575574579,6566.2271890770135
65-69 years,Female,2260.832365837132,2441.905032378816,2567.1678974145902,2649.840698049761,2677.591880464281,2792.612638276305,2641.09246216186,2616.38224017673
65-69 years,Male,3724.168745915296,4038.286285438703,4279.630044231712,4309.369727103607,4063.339443397025,4517.276544882814,4038.873113412719,3949.8449489002815
70+ years,Both,13569.610080856732,14582.486807493637,15367.474479553985,15996.816746746765,15707.486559726643,15735.761766273452,16558.515317068064,16570.68618098671
70+ years,Female,5686.111622746807,6142.701178069759,6507.303658888675,6861.770467882055,6892.30855160657,6711.406595637666,7333.859644126996,7347.222641292227
70+ years,Male,7883.498458109924,8439.785629423885,8860.170820665324,9135.046278864707,8815.178008120087,9024.355170635788,9224.655672941064,9223.46353969448
All ages,Both,185580.0817028417,188264.29155818207,186845.71305555385,187558.8823632376,187571.94546325467,205876.2288056906,201395.47883684785,200060.38143512083
All ages,Female,76895.02618191311,77038.08304637579,75558.57361090159,76110.19337000683,77756.21699979328,79952.25140055352,82536.22040162246,81604.74108356913
All ages,Male,108685.05552092876,111226.2085118064,111287.13944465225,111448.68899323078,109815.72846346136,125923.97740513706,118859.2584352252,118455.6403515517
