age,sex,2016,2017,2018,2019,2020,2021,2022,2023
15-19 years,Both,21085.25176106502,20834.287653693485,20033.342231454997,19738.56636237686,20758.26483435486,22072.952372563308,20885.59249307053,20599.230190056736
15-19 years,Female,12413.29893322453,11989.003603633628,11403.972624214432,11334.868753819055,11941.10087230501,12593.567692009496,12056.912501105571,11839.840166166365
15-19 years,Male,8671.952827840487,8845.284050059852,8629.369607240533,8403.697608557814,8817.163962049834,9479.384680553783,8828.679991964944,8759.390023890372
20-24 years,Both,27605.60994378988,26899.05280265135,25876.411410598248,25683.267481721017,26105.653297829547,27358.6693160822,27044.132044128008,26713.248631077928
20-24 years,Female,13330.118145371647,12859.471324773329,12276.19204104705,12278.868488499716,12801.73392919199,13584.687760506147,13049.439387499651,12783.626488715412
20-24 years,Male,14275.491798418234,14039.581477878011,13600.219369551214,13404.39899322132,13303.91936863756,13773.98155557604,13994.692656628353,13929.622142362505
25-29 years,Both,24969.285559655684,25127.882518572827,24507.11457937796,24265.50660627159,24326.977011952426,25787.007352995075,26460.60827649231,26318.05743815585
25-29 years,Female,11127.24355713626,11028.749034912407,10587.641931025622,10710.826633240416,10884.731844114727,11083.00606325608,11703.59793365502,11569.116242404089
25-29 years,Male,13842.042002519413,14099.133483660424,13919.472648352345,13554.679973031172,13442.245167837702,14704.00128973899,14757.010342837271,14748.941195751771
30-34 years,Both,20116.80035027893,20173.31251381852,20061.57511361936,20176.470192437977,20545.87661295727,23722.903473044487,22635.755379992093,22605.312842077685
30-34 years,Female,7165.21734534496,7317.625368786097,7215.498857408962,7277.269542704669,7620.435736523226,7804.5348569685375,8519.59932530036,8465.06057883045
30-34 years,Male,12951.583004933966,12855.687145032429,12846.076256210416,12899.2006497333,12925.440876434066,15918.36861607595,14116.15605469173,14140.252263247226
35-39 years,Both,16373.572811861884,16630.323271629153,16186.1416923712,16052.756740188828,15972.97947773696,18830.03914937519,18290.73778336702,18257.75325165854
35-39 years,Female,5790.848148904366,5889.943681004361,5695.200660639853,5694.80148413506,5805.339752550298,5647.007515186164,6693.180434658365,6588.557216994533
35-39 years,Male,10582.724662957524,10740.3795906248,10490.941031731349,10357.955256053769,10167.639725186657,13183.031634189045,11597.557348708644,11669.196034664012
40-44 years,Both,14683.953105837236,15329.496148232947,15271.133714706848,15350.60531068451,15409.139448396856,17663.133052699934,18050.33619463051,18134.726243218745
40-44 years,Female,5130.684445033343,5181.182362554493,5048.026144296649,4903.938215256912,4797.759867858378,4504.561858115648,5648.247320666137,5621.049713025808
40-44 years,Male,9553.268660803902,10148.313785678463,10223.10757041019,10446.66709542761,10611.379580538476,13158.571194584283,12402.088873964372,12513.676530192955
45-49 years,Both,11799.772086420808,12109.03374185289,12099.817793454296,12254.154444192183,11775.385588132089,13195.067417583996,13110.582715285847,12999.295836787562
45-49 years,Female,3565.8017480216017,3685.55048678871,3701.572583987216,3763.7854750705246,3726.7786562557935,3770.045693204989,4053.6254240023904,4019.8537269657736
45-49 years,Male,8233.970338399215,8423.483255064179,8398.245209467095,8490.368969121666,8048.606931876284,9425.021724378992,9056.957291283454,8979.44210982178
50-54 years,Both,10284.666379034148,10322.372203854924,10403.980721724978,10654.361784784796,10525.452656227932,12118.284798769006,11329.367893531991,11224.40313487135
50-54 years,Female,3517.0424671146206,3397.5476086079466,3241.89970992807,3090.9214879523565,3027.161885523691,3296.3873831661963,3213.60540056948,3209.6844908038825
50-54 years,Male,6767.623911919528,6924.8245952469815,7162.081011796898,7563.44029683244,7498.290770704242,8821.897415602816,8115.762492962514,8014.718644067469
