year,national_total,gbd_national,lo95,hi95,ncrb_over_gbd
2020,153052,187571.94546325467,146171.31884727618,221650.7956998212,0.8159642403985349
2021,164033,205876.2288056906,156274.93958360486,243099.49794663605,0.7967554144136625
2022,170924,201395.47883684785,154078.46338427832,241843.21483483672,0.8486982974353012
2023,171418,200060.38143512083,150114.96608325376,244879.02531255945,0.8568313164772732
