sex,n_years,value_2018,value_2023,apc_pct_per_year,p_value,r_squared
Both,6,186845.71305555385,200060.38143512083,1.8696221541744995,0.058227175893722595,0.6334769657704353
Male,6,111287.13944465225,118455.6403515517,1.8515793475055053,0.16511316481589633,0.41832251917045615
Female,6,75558.57361090159,81604.74108356913,1.891704989132048,0.002843469961749155,0.9142021053266653
