year,page,raw_line,candidate_counts
2016,103,E53 Intentional self-harm (Suicide- attempted) M 3716 0 69 5 0 0 7 3 4 0 10 6 181 44 0 0 1774 78,"[3716, 1774]"
2017,102,E53 Intentional self-harm (Suicide- attempted) M 3805 1 69 8 31 0 14 11 6 0 4 3 367 79 0 0 2034 69,"[3805, 2034]"
2018,100,E53 Intentional self-harm (Suicide- attempted) M 3448 123 60 6 44 11 25 18 9 42 5 3 357 0 15 0 1758 82,"[3448, 1758]"
2019,100,E53 Intentional self-harm (Suicide- attempted) M 3653 0 79 15 26 0 63 16 24 71 12 7 226 0 11 0 1191 70,"[3653, 1191]"
2020,117,E53 Intentional self-harm (Suicide- attempted) M 3503 4 78 14 22 1 48 24 36 53 153 45 1 9 0 721 53,[3503]
2021,160,E53 Intentional self-harm (Suicide- attempted) M 3871 14 85 11 15 3 65 43 12 83 0 154 79 131 0 2 0 1016 88,"[3871, 1016]"
2022,169,E53 Intentional self-harm (Suicide- attempted) M 7703 18 89 3 61 0 141 69 13 108 0 7 97 27 0 33 2 1491 67,"[7703, 1491]"
2023,166,E53 Intentional self-harm (Suicide- attempted) M 6720 27 106 4 33 0 120 22 234 32 4 187 82 0 28 3 1572 97,"[6720, 1572]"
