gid_2,state,district,engtype
IND.11.33_1,Gujarat,Valsad,District
IND.12.1_1,Haryana,Ambala,District
IND.12.2_1,Haryana,Bhiwani,District
IND.12.3_1,Haryana,Faridabad,District
IND.12.4_1,Haryana,Fatehabad,District
IND.12.5_1,Haryana,Gurgaon,District
IND.12.6_1,Haryana,Hisar,District
IND.12.7_1,Haryana,Jhajjar,District
IND.12.8_1,Haryana,Jind,District
IND.12.9_1,Haryana,Kaithal,District
IND.12.10_1,Haryana,Karnal,District
IND.12.11_1,Haryana,Kurukshetra,District
IND.12.12_1,Haryana,Mahendragarh,District
IND.12.13_1,Haryana,Mewat,District
IND.12.14_1,Haryana,Palwal,District
IND.12.15_1,Haryana,Panchkula,District
IND.12.16_1,Haryana,Panipat,District
IND.12.17_1,Haryana,Rewari,District
IND.12.18_1,Haryana,Rohtak,District
IND.12.19_1,Haryana,Sirsa,District
IND.12.20_1,Haryana,Sonipat,District
IND.12.21_1,Haryana,Yamunanagar,District
IND.13.1_1,Himachal Pradesh,Bilaspur,District
IND.13.2_1,Himachal Pradesh,Chamba,District
IND.13.3_1,Himachal Pradesh,Hamirpur,District
IND.13.4_1,Himachal Pradesh,Kangra,District
IND.13.5_1,Himachal Pradesh,Kinnaur,District
Z04.13.5_1,Himachal Pradesh,Kinnaur,District
Z09.13.5_1,Himachal Pradesh,Kinnaur,District
IND.13.6_1,Himachal Pradesh,Kullu,District
IND.13.7_1,Himachal Pradesh,Lahul & Spiti,District
Z04.13.7_1,Himachal Pradesh,Lahul & Spiti,District
IND.13.8_1,Himachal Pradesh,Mandi,District
IND.13.9_1,Himachal Pradesh,Shimla,District
IND.13.10_1,Himachal Pradesh,Sirmaur,District
IND.13.11_1,Himachal Pradesh,Solan,District
IND.13.12_1,Himachal Pradesh,Una,District
Z01.14.1_1,Jammu and Kashmir,Anantnag,District
Z01.14.2_1,Jammu and Kashmir,Badgam,District
Z01.14.3_1,Jammu and Kashmir,Bandipore,District
Z01.14.4_1,Jammu and Kashmir,Baramulla,District
Z01.14.5_1,Jammu and Kashmir,Doda,District
Z01.14.6_1,Jammu and Kashmir,Ganderbal,District
Z01.14.7_1,Jammu and Kashmir,Jammu,District
Z01.14.8_1,Jammu and Kashmir,Kargil,District
Z01.14.9_1,Jammu and Kashmir,Kathua,District
Z01.14.10_1,Jammu and Kashmir,Kishtwar,District
Z01.14.11_1,Jammu and Kashmir,Kulgam,District
Z01.14.12_1,Jammu and Kashmir,Kupwara,District
Z01.14.13_1,Jammu and Kashmir,Leh (Ladakh),District
Z01.14.14_1,Jammu and Kashmir,Poonch,District
Z01.14.15_1,Jammu and Kashmir,Pulwama,District
Z01.14.16_1,Jammu and Kashmir,Rajouri,District
Z01.14.17_1,Jammu and Kashmir,Ramban,District
Z01.14.18_1,Jammu and Kashmir,Reasi,District
Z01.14.19_1,Jammu and Kashmir,Samba,District
Z01.14.20_1,Jammu and Kashmir,Shupiyan,District
Z01.14.21_1,Jammu and Kashmir,Srinagar,District
Z01.14.22_1,Jammu and Kashmir,Udhampur,District
IND.15.1_1,Jharkhand,Bokaro,District
IND.15.2_1,Jharkhand,Chatra,District
IND.15.3_1,Jharkhand,Deoghar,District
IND.15.4_1,Jharkhand,Dhanbad,District
IND.15.5_1,Jharkhand,Dumka,District
IND.15.6_1,Jharkhand,Garhwa,District
IND.15.7_1,Jharkhand,Giridih,District
IND.15.8_1,Jharkhand,Godda,District
IND.15.9_1,Jharkhand,Gumla,District
IND.15.10_1,Jharkhand,Hazaribagh,District
IND.15.11_1,Jharkhand,Jamtara,District
IND.15.12_1,Jharkhand,Khunti,District
IND.15.13_1,Jharkhand,Kodarma,District
IND.15.14_1,Jharkhand,Latehar,District
IND.15.15_1,Jharkhand,Lohardaga,District
IND.15.16_1,Jharkhand,Pakur,District
IND.15.17_1,Jharkhand,Palamu,District
IND.15.18_1,Jharkhand,Pashchimi Singhbhum,District
IND.15.19_1,Jharkhand,Purbi Singhbhum,District
IND.15.20_1,Jharkhand,Ramgarh,District
IND.15.21_1,Jharkhand,Ranchi,District
IND.15.22_1,Jharkhand,Sahibganj,District
IND.15.23_1,Jharkhand,Saraikela-kharsawan,District
IND.15.24_1,Jharkhand,Simdega,District
IND.16.1_1,Karnataka,Bagalkot,District
IND.16.3_1,Karnataka,Bangalore,District
IND.16.2_1,Karnataka,Bangalore Rural,District
IND.16.4_1,Karnataka,Belgaum,District
IND.16.5_1,Karnataka,Bellary,District
IND.16.6_1,Karnataka,Bidar,District
IND.16.7_1,Karnataka,Bijapur,District
IND.16.8_1,Karnataka,Chamrajnagar,District
IND.16.9_1,Karnataka,Chikballapura,District
IND.16.10_1,Karnataka,Chikmagalur,District
IND.16.11_1,Karnataka,Chitradurga,District
IND.16.12_1,Karnataka,Dakshina Kannada,District
IND.16.13_1,Karnataka,Davanagere,District
IND.16.14_1,Karnataka,Dharwad,District
IND.16.15_1,Karnataka,Gadag,District
IND.16.16_1,Karnataka,Gulbarga,District
IND.16.17_1,Karnataka,Hassan,District
IND.16.18_1,Karnataka,Haveri,District
IND.16.19_1,Karnataka,Kodagu,District
IND.16.20_1,Karnataka,Kolar,District
IND.16.21_1,Karnataka,Koppal,District
IND.16.22_1,Karnataka,Mandya,District
IND.16.23_1,Karnataka,Mysore,District
IND.16.24_1,Karnataka,Raichur,District
IND.16.25_1,Karnataka,Ramanagara,District
IND.16.26_1,Karnataka,Shimoga,District
IND.16.27_1,Karnataka,Tumkur,District
IND.16.28_1,Karnataka,Udupi,District
IND.16.29_1,Karnataka,Uttara Kannada,District
IND.16.30_1,Karnataka,Yadgir,District
IND.17.1_1,Kerala,Alappuzha,District
IND.17.2_1,Kerala,Ernakulam,District
IND.17.3_1,Kerala,Idukki,District
IND.17.4_1,Kerala,Kannur,District
IND.17.5_1,Kerala,Kasaragod,District
IND.17.6_1,Kerala,Kollam,District
IND.17.7_1,Kerala,Kottayam,District
IND.17.8_1,Kerala,Kozhikode,District
IND.17.9_1,Kerala,Malappuram,District
IND.17.10_1,Kerala,Palakkad,District
IND.17.11_1,Kerala,Pathanamthitta,District
IND.17.12_1,Kerala,Thiruvananthapuram,District
IND.17.13_1,Kerala,Thrissur,District
IND.17.14_1,Kerala,Wayanad,District
IND.18.1_1,Lakshadweep,Lakshadweep,District
IND.19.1_1,Madhya Pradesh,Agar Malwa,District
IND.19.2_1,Madhya Pradesh,Alirajpur,District
IND.19.3_1,Madhya Pradesh,Anuppur,District
IND.19.4_1,Madhya Pradesh,Ashoknagar,District
IND.19.5_1,Madhya Pradesh,Balaghat,District
IND.19.6_1,Madhya Pradesh,Barwani,District
IND.19.7_1,Madhya Pradesh,Betul,District
IND.19.8_1,Madhya Pradesh,Bhind,District
IND.19.9_1,Madhya Pradesh,Bhopal,District
IND.19.10_1,Madhya Pradesh,Burhanpur,District
IND.19.11_1,Madhya Pradesh,Chhatarpur,District
IND.19.12_1,Madhya Pradesh,Chhindwara,District
IND.19.13_1,Madhya Pradesh,Damoh,District
IND.19.14_1,Madhya Pradesh,Datia,District
IND.19.15_1,Madhya Pradesh,Dewas,District
IND.19.16_1,Madhya Pradesh,Dhar,District
IND.19.17_1,Madhya Pradesh,Dindori,District
IND.19.18_1,Madhya Pradesh,East Nimar,District
IND.19.19_1,Madhya Pradesh,Guna,District
IND.19.20_1,Madhya Pradesh,Gwalior,District
IND.19.21_1,Madhya Pradesh,Harda,District
IND.19.22_1,Madhya Pradesh,Hoshangabad,District
IND.19.23_1,Madhya Pradesh,Indore,District
IND.19.24_1,Madhya Pradesh,Jabalpur,District
IND.19.25_1,Madhya Pradesh,Jhabua,District
IND.19.26_1,Madhya Pradesh,Katni,District
IND.19.27_1,Madhya Pradesh,Mandla,District
IND.19.28_1,Madhya Pradesh,Mandsaur,District
IND.19.29_1,Madhya Pradesh,Morena,District
IND.19.30_1,Madhya Pradesh,Narsimhapur,District
IND.19.31_1,Madhya Pradesh,Neemuch,District
IND.19.32_1,Madhya Pradesh,Panna,District
IND.19.33_1,Madhya Pradesh,Raisen,District
IND.19.34_1,Madhya Pradesh,Rajgarh,District
IND.19.35_1,Madhya Pradesh,Ratlam,District
IND.19.36_1,Madhya Pradesh,Rewa,District
IND.19.37_1,Madhya Pradesh,Sagar,District
IND.19.38_1,Madhya Pradesh,Satna,District
IND.19.39_1,Madhya Pradesh,Sehore,District
IND.19.40_1,Madhya Pradesh,Seoni,District
IND.19.41_1,Madhya Pradesh,Shahdol,District
IND.19.42_1,Madhya Pradesh,Shajapur,District
IND.19.43_1,Madhya Pradesh,Sheopur,District
IND.19.44_1,Madhya Pradesh,Shivpuri,District
IND.19.45_1,Madhya Pradesh,Sidhi,District
IND.19.46_1,Madhya Pradesh,Singrauli,District
IND.19.47_1,Madhya Pradesh,Tikamgarh,District
IND.19.48_1,Madhya Pradesh,Ujjain,District
IND.19.49_1,Madhya Pradesh,Umaria,District
IND.19.50_1,Madhya Pradesh,Vidisha,District
IND.19.51_1,Madhya Pradesh,West Nimar,District
IND.20.1_1,Maharashtra,Ahmadnagar,District
IND.20.2_1,Maharashtra,Akola,District
IND.20.3_1,Maharashtra,Amravati,District
IND.20.4_1,Maharashtra,Aurangabad,District
IND.20.5_1,Maharashtra,Bhandara,District
IND.20.6_1,Maharashtra,Bid,District
IND.20.7_1,Maharashtra,Buldana,District
IND.20.8_1,Maharashtra,Chandrapur,District
IND.20.9_1,Maharashtra,Dhule,District
IND.20.10_1,Maharashtra,Garhchiroli,District
IND.20.11_1,Maharashtra,Gondiya,District
IND.20.12_1,Maharashtra,Hingoli,District
IND.20.13_1,Maharashtra,Jalgaon,District
IND.20.14_1,Maharashtra,Jalna,District
IND.20.15_1,Maharashtra,Kolhapur,District
IND.20.16_1,Maharashtra,Latur,District
IND.20.17_1,Maharashtra,Mumbai City,District
IND.20.18_1,Maharashtra,Mumbai Suburban,District
IND.20.19_1,Maharashtra,Nagpur,District
IND.20.20_1,Maharashtra,Nanded,District
IND.20.21_1,Maharashtra,Nandurbar,District
IND.20.22_1,Maharashtra,Nashik,District
IND.20.23_1,Maharashtra,Osmanabad,District
IND.20.24_1,Maharashtra,Palghar,District
IND.20.25_1,Maharashtra,Parbhani,District
IND.20.26_1,Maharashtra,Pune,District
IND.20.27_1,Maharashtra,Raigarh,District
IND.20.28_1,Maharashtra,Ratnagiri,District
IND.20.29_1,Maharashtra,Sangli,District
IND.20.30_1,Maharashtra,Satara,District
IND.20.31_1,Maharashtra,Sindhudurg,District
IND.20.32_1,Maharashtra,Solapur,District
IND.20.33_1,Maharashtra,Thane,District
IND.20.34_1,Maharashtra,Wardha,District
IND.20.35_1,Maharashtra,Washim,District
IND.20.36_1,Maharashtra,Yavatmal,District
IND.21.1_1,Manipur,Bishnupur,District
IND.21.2_1,Manipur,Chandel,District
IND.21.3_1,Manipur,Churachandpur,District
IND.21.4_1,Manipur,Imphal East,District
IND.21.5_1,Manipur,Imphal West,District
IND.21.6_1,Manipur,Senapati,District
IND.21.7_1,Manipur,Tamenglong,District
IND.21.8_1,Manipur,Thoubal,District
IND.21.9_1,Manipur,Ukhrul,District
IND.22.1_1,Meghalaya,East Garo Hills,District
IND.22.2_1,Meghalaya,East Khasi Hills,District
IND.22.3_1,Meghalaya,Jaintia Hills,District
IND.22.4_1,Meghalaya,North Garo Hills,District
IND.22.5_1,Meghalaya,Ri Bhoi,District
IND.22.6_1,Meghalaya,South Garo Hills,District
IND.22.7_1,Meghalaya,South West Garo Hills,District
IND.22.8_1,Meghalaya,South West Khasi Hills,District
IND.22.9_1,Meghalaya,West Garo Hills,District
