gid_2,state,district,engtype
IND.34.3_1,Uttar Pradesh,Allahabad,District
IND.34.4_1,Uttar Pradesh,Ambedkar Nagar,District
IND.34.5_1,Uttar Pradesh,Amethi,District
IND.34.6_1,Uttar Pradesh,Amroha,District
IND.34.7_1,Uttar Pradesh,Auraiya,District
IND.34.8_1,Uttar Pradesh,Azamgarh,District
IND.34.9_1,Uttar Pradesh,Baghpat,District
IND.34.10_1,Uttar Pradesh,Bahraich,District
IND.34.11_1,Uttar Pradesh,Ballia,District
IND.34.12_1,Uttar Pradesh,Balrampur,District
IND.34.13_1,Uttar Pradesh,Banda,District
IND.34.14_1,Uttar Pradesh,Barabanki,District
IND.34.15_1,Uttar Pradesh,Bareilly,District
IND.34.16_1,Uttar Pradesh,Basti,District
IND.34.17_1,Uttar Pradesh,Bijnor,District
IND.34.18_1,Uttar Pradesh,Budaun,District
IND.34.19_1,Uttar Pradesh,Bulandshahr,District
IND.34.20_1,Uttar Pradesh,Chandauli,District
IND.34.21_1,Uttar Pradesh,Chitrakoot,District
IND.34.22_1,Uttar Pradesh,Deoria,District
IND.34.23_1,Uttar Pradesh,Etah,District
IND.34.24_1,Uttar Pradesh,Etawah,District
IND.34.25_1,Uttar Pradesh,Faizabad,District
IND.34.26_1,Uttar Pradesh,Farrukhabad,District
IND.34.27_1,Uttar Pradesh,Fatehpur,District
IND.34.28_1,Uttar Pradesh,Firozabad,District
IND.34.29_1,Uttar Pradesh,Gautam Buddha Nagar,District
IND.34.30_1,Uttar Pradesh,Ghaziabad,District
IND.34.31_1,Uttar Pradesh,Ghazipur,District
IND.34.32_1,Uttar Pradesh,Gonda,District
IND.34.33_1,Uttar Pradesh,Gorakhpur,District
IND.34.34_1,Uttar Pradesh,Hamirpur,District
IND.34.35_1,Uttar Pradesh,Hapur,District
IND.34.36_1,Uttar Pradesh,Hardoi,District
IND.34.37_1,Uttar Pradesh,Hathras,District
IND.34.38_1,Uttar Pradesh,Jalaun,District
IND.34.39_1,Uttar Pradesh,Jaunpur,District
IND.34.40_1,Uttar Pradesh,Jhansi,District
IND.34.41_1,Uttar Pradesh,Kannauj,District
IND.34.42_1,Uttar Pradesh,Kanpur Dehat,District
IND.34.43_1,Uttar Pradesh,Kanpur Nagar,District
IND.34.44_1,Uttar Pradesh,Kasganj,District
IND.34.45_1,Uttar Pradesh,Kaushambi,District
IND.34.46_1,Uttar Pradesh,Kushinagar,District
IND.34.47_1,Uttar Pradesh,Lakhimpur Kheri,District
IND.34.48_1,Uttar Pradesh,Lalitpur,District
IND.34.49_1,Uttar Pradesh,Lucknow,District
IND.34.50_1,Uttar Pradesh,Maharajganj,District
IND.34.51_1,Uttar Pradesh,Mahoba,District
IND.34.52_1,Uttar Pradesh,Mainpuri,District
IND.34.53_1,Uttar Pradesh,Mathura,District
IND.34.54_1,Uttar Pradesh,Mau,District
IND.34.55_1,Uttar Pradesh,Meerut,District
IND.34.56_1,Uttar Pradesh,Mirzapur,District
IND.34.57_1,Uttar Pradesh,Moradabad,District
IND.34.58_1,Uttar Pradesh,Muzaffarnagar,District
IND.34.59_1,Uttar Pradesh,Pilibhit,District
IND.34.60_1,Uttar Pradesh,Pratapgarh,District
IND.34.61_1,Uttar Pradesh,Rae Bareli,District
IND.34.62_1,Uttar Pradesh,Rampur,District
IND.34.63_1,Uttar Pradesh,Saharanpur,District
IND.34.64_1,Uttar Pradesh,Sambhal,District
IND.34.65_1,Uttar Pradesh,Sant Kabir Nagar,District
IND.34.66_1,Uttar Pradesh,Sant Ravi Das Nagar,District
IND.34.67_1,Uttar Pradesh,Shahjahanpur,District
IND.34.68_1,Uttar Pradesh,Shamli,District
IND.34.69_1,Uttar Pradesh,Shravasti,District
IND.34.70_1,Uttar Pradesh,Siddharth Nagar,District
IND.34.71_1,Uttar Pradesh,Sitapur,District
IND.34.72_1,Uttar Pradesh,Sonbhadra,District
IND.34.73_1,Uttar Pradesh,Sultanpur,District
IND.34.74_1,Uttar Pradesh,Unnao,District
IND.34.75_1,Uttar Pradesh,Varanasi,District
IND.35.1_1,Uttarakhand,Almora,District
IND.35.2_1,Uttarakhand,Bageshwar,District
IND.35.3_1,Uttarakhand,Chamoli,District
Z05.35.3_1,Uttarakhand,Chamoli,District
IND.35.4_1,Uttarakhand,Champawat,District
IND.35.5_1,Uttarakhand,Dehradun,District
IND.35.6_1,Uttarakhand,Garhwal,District
IND.35.7_1,Uttarakhand,Hardwar,District
IND.35.8_1,Uttarakhand,Nainital,District
IND.35.9_1,Uttarakhand,Pithoragarh,District
Z05.35.9_1,Uttarakhand,Pithoragarh,District
IND.35.10_1,Uttarakhand,Rudraprayag,District
IND.35.11_1,Uttarakhand,Tehri Garhwal,District
IND.35.12_1,Uttarakhand,Udham Singh Nagar,District
IND.35.13_1,Uttarakhand,Uttarkashi,District
Z09.35.13_1,Uttarakhand,Uttarkashi,District
IND.36.1_1,West Bengal,Alipurduar,District
IND.36.2_1,West Bengal,Bankura,District
IND.36.3_1,West Bengal,Barddhaman,District
IND.36.4_1,West Bengal,Birbhum,District
IND.36.5_1,West Bengal,Dakshin Dinajpur,District
IND.36.6_1,West Bengal,Darjiling,District
IND.36.7_1,West Bengal,Haora,District
IND.36.8_1,West Bengal,Hugli,District
IND.36.9_1,West Bengal,Jalpaiguri,District
IND.36.10_1,West Bengal,Koch Bihar,District
IND.36.11_1,West Bengal,Kolkata,District
IND.36.12_1,West Bengal,Maldah,District
IND.36.13_1,West Bengal,Murshidabad,District
IND.36.14_1,West Bengal,Nadia,District
IND.36.15_1,West Bengal,North 24 Parganas,District
IND.36.16_1,West Bengal,Pashchim Medinipur,District
IND.36.17_1,West Bengal,Purba Medinipur,District
IND.36.18_1,West Bengal,Puruliya,District
IND.36.19_1,West Bengal,South 24 Parganas,District
IND.36.20_1,West Bengal,Uttar Dinajpur,District
